IATA,ICAO,Airline,Call sign,Country/Region,Comments
,PLZ,Planet Airways,PLANET,United States,
,FPL,Play,PLAYER,Iceland,
,PYZ,Players Air,PLAYERS AIR,United States,
,PDG,PLM Dollar Group,OSPREY,United Kingdom,
PU,PUA,PLUNA,PLUNA,Uruguay,
,PSF,Plymouth School of Flying,LIZARD,United Kingdom,
U4,PMT,PMTair,MULTITRADE,Cambodia,Progress Multitrade
,POC,Pocono Air Lines,POCONO,United States,
,PDA,Podilia-Avia,PODILIA,Ukraine,
,PAZ,Point Afrique Niger,POINTAIR NIGER,Niger,
,RMI,Point Airlines,POINT AIRLINE,Nigeria,
,PAW,Pointair Burkina,POINTAIR BURKINA,Burkina Faso,
,PTS,Points of Call Airlines,POINTSCALL,Canada,
PO,PAC,Polar Air Cargo,POLAR,United States,
,PMO,Polar Airlines de Mexico,POLAR MEXICO,Mexico,
,PSR,Polestar Aviation,POLESTAR,United Kingdom,
,POT,Polet Airlines,POLET,Russia,
,POF,Police Aux Frontières,AIRPOL,France,
,PLC,Police Aviation Services,SPECIAL,United Kingdom,
,PLF,Polish Air Force,POLISH AIRFORCE,Poland,
,PNY,Polish Navy,POLISH NAVY,Poland,
,NRW,Polizeifliegerstaffel Nordrhein-Westfalen,HUMMEL,Germany,
,SRP,Polizeihubschauberstaffel Rheinland-Pfalz,SPERBER,Germany,
,PBW,Polizeihubschrauberstaffel Baden-Württemberg,BUSSARD,Germany,
,EDL,Polizeihubschrauberstaffel Bayern,POLICE EDELWEISS,Germany,
,PBB,Polizeihubschrauberstaffel Brandenburg,ADEBAR,Germany,
,LIB,Polizeihubschrauberstaffel Hamburg,LIBELLE,Germany,
,PHH,Polizeihubschrauberstaffel Hessen,IBIS,Germany,
,PMV,Polizeihubschrauberstaffel Mecklenburg-Vorpommern,POLICE MERLIN,Germany,
,PPH,Polizeihubschrauberstaffel Niedersachsen,POLICE PHOENIX,Germany,
,PHS,Polizeihubschrauberstaffel Sachsen,PASSAT,Germany,
,PIK,Polizeihubschrauberstaffel Sachsen-Anhalt,POLICE IKARUS,Germany,
,HBT,Polizeihubschrauberstaffel Thüringen,HABICHT,Germany,
,CUK,Polo Aviation,CHUKKA,United Kingdom,
,PLA,Polynesian Air-Ways,POLYAIR,United States,
PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa,
DJ,PLB,Polynesian Blue,POLYBLUE,New Zealand,"Controlled Dupe IATA, Code reserved but not in use, PBN (Bluebird) used."
1U,,Polyot Sirena,,Russia,
,PND,Pond Air Express,POND AIR,United States,
,PSI,Pont International Airline Services,PONT,Suriname,defunct
,PLX,Pool Aviation,POOLEX,United Kingdom,
,PTQ,Port Townsend Airways,TOWNSEND,United States,
,POR,Porteadora De Cosola,PORTEADORA,Mexico,
PD,POE,Porter Airlines,PORTER,Canada,
NI,PGA,Portugalia,PORTUGALIA,Portugal,
,AFP,Portuguese Air Force,PORTUGUESE AIR FORCE,Portugal,
,POA,Portuguese Army,PORTUGUESE ARMY,Portugal,
,PON,Portuguese Navy,PORTUGUESE NAVY,Portugal,
M4,MSA,Poste Air Cargo,AIRMERCI,Italy,
BK,PDC,Potomac Air,DISTRICT,United States,
,PSN,Potosina Del Aire,POTOSINA,Mexico,
,PWL,Powell Air,POWELL AIR,Canada,
,PFS,Prairie Flying Service,PRAIRIE,United States,
,PWC,Pratt and Whitney Canada,PRATT,Canada,
PW,PRF,Precision Air,PRECISION AIR,Tanzania,
,PRE,Precision Airlines,PRECISION,United States,
,BAT,Premiair,BALLISTIC,Luxembourg,
,PGL,Premiair Aviation Services,PREMIERE,United Kingdom,
,PME,Premiair Fliyng Club,ADUR,United Kingdom,
,EMI,Premium Air Shuttle,BLUE SHUTTLE,Nigeria,
,PMU,Premium Aviation,PREMIUM,Germany,
,BFA,Presidence Du Faso,,Burkina Faso,
,ONM,Presidencia de La Republica de Guinea Ecuatorial,,Equatorial Guinea,
TO,PSD,President Airlines,,Cambodia,
,PRD,Presidential Aviation,PRESIDENTIAL,United States,
MO,AUH,Presidential Flight,SULTAN,United Arab Emirates,Presidential flight
,PWA,Priester Aviation,PRIESTER,United States,
FE,WCP,Primaris Airlines,WHITECAP,United States,
,PMC,Primas Courier,PRIMAC,United States,
,CRY,Primavia Limited,CARRIERS,United Kingdom,
,PRM,Prime Airlines,PRIME AIR,United States,
,PKZ,Prime Aviation,PRAVI,Kazakhstan,
,PRT,Prime Service Italia,PRIME ITALIA,Italy,2014[48]
,PRW,Primera Air Nordic,JETBIRD,Latvia,
,PRI,Primera Air Scandinavia,PRIMERA,Denmark,
,PMI,Primero Transportes Aereos,AEROEPRIM,Mexico,
,PNC,Prince Aviation,PRINCE,Serbia,
,CME,Prince Edward Air,COMET,Canada,
,PJP,Princely Jets,PRINCELY JETS,Pakistan,
8Q,,Princess Air,,,no longer assigned
,PCN,Princeton Aviation Corporation,PRINCETON,United States,
,PRY,Priority Air Charter,PRIORITY AIR,United States,
,PAT,Priority Air Transport,PAT,United States,Department of the Army
,BCK,Priority Aviation Company,BANKCHECK,United States,
,PTI,Privatair,PRIVATAIR,Switzerland,
,PJE,Private Jet Expeditions,PEE JAY,United States,
,PJA,Private Jet Management,PRIVATE FLIGHT,United States,
8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany,
P6,PVG,Privilege Style Líneas Aéreas,PRIVILEGE,Spain,
,PRH,Pro Air,PROHAWK,United States,
,PSZ,Pro Air Service,POP-AIR,United States,
,GIY,Probiz Guinee,PROBIZ,Guinea,
,PAD,Professional Express Courier Service,AIR PROFESSIONAL,United States,
,PVL,Professione VOlare,VOLARE,Italy,
P0,PFZ,Proflight Zambia,PROFLIGHT-ZAMBIA,Zambia,
,PTT,Promotora Industria Totolapa,TOTOLAPA,Mexico,
,PRO,Propair,PROPAIR,Canada,
,PPA,Propheter Aviation,AIR PROP,United States,
,PTH,Proteus Helicopteres,PROTEUS,France,
,PTL,Providence Airline,PLANTATION,United States,
,AWD,Providence Aviation Services,,Pakistan,
PB,SPR,Provincial Airlines,SPEEDAIR,Canada,
,PRV,Provincial Express,PROVINCIAL,Canada,
,PRP,PRT Aviation,PRONTO,Spain,
OH,JIA,PSA Airlines,BLUE STREAK,United States,part of American Airlines Group
,PSW,Pskovavia,PSKOVAVIA,Russia,
,UDA,Psudiklat Perhubungan Udara/PLP,UDARA,Indonesia,
,PTA,Ptarmigan Airways,PTARMIGAN,Canada,
,KST,PTL Luftfahrtunternehmen,KING STAR,Germany,
,PSP,Publiservicios Aéreos,PUBLISERVICIOS,Mexico,
,PUV,Publivoo,PUBLIVOO,Portugal,Publicidade e Imagens Aéreas
,PNG,Puerto Rico National Guard,,United States,
,TXV,Puerto Vallarta Taxi Aéreo,TAXIVALLARTA,Mexico,
,PGH,Pulkovo Aircraft Services,,Russia,
FV,PLK,Pulkovo Aviation Enterprise,PULKOVO,Russia,defunct merged into Rossiya (airline)
,PLY,Puma Linhas Aéreas,PUMA BRASIL,Brazil,
,PTV,Puntavia Air Services,PUNTAVIA,Djibouti,
,MGO,Punto Fa,MANGO,Spain,
,HRS,Pursuit Aviation,HORSEMAN,United States,2016[47]
,PYR,Pyramid Air Lines,PYAIR,Egypt,
,QNT,Qanot Sharq,QANAT SHARQ,Uzbekistan,
QF,QFA,Qantas,QANTAS,Australia,
QF,QJE,QantasLink,QJET,Australia,Qantaslink Jet Operations
QF,QLK,QantasLink,QLINK,Australia,Turbo-Props
,QAC,Qatar Air Cargo,QATAR CARGO,Qatar,
QR,QTR,Qatar Airways,QATARI,Qatar,
,QAF,Qatar Amiri Flight,AMIRI,Qatar,
,QQE,Qatar Executive,,Qatar,
,QSM,Qeshm Air,QESHM AIR,Iran,
,QTX,Quantex Environmental,AIR QUANTEX,Canada,
,QUE,Quebec Government Air Service,QUEBEC,Canada,
,QNA,Queen Air,QUEEN AIR,Dominican Republic,
,LBQ,Quest Diagnostics,LABQUEST,United States,
,QAJ,Quick Air Jet Charter,DAGOBERT,Germany,
,QAH,Quick Airways Holland,QUICK,Netherlands,
,FQA,Quikjet Cargo Airlines,QUIK LIFT,India,2014[50]
,QAS,Quisqueya Airlines,QUISQUEYA,Haiti,
,QAQ,Qurinea Air Service,QURINEA AIR,Libya,
,QCC,Qwest Commuter Corporation,QWEST AIR,United States,
,QWA,Qwestair,,Australia,
,QWL,Qwila Air,Q-CHARTER,South Africa,
,TSH,"R1 Airlines, previously Regional 1",TRANSCANADA,Canada,
,RJT,RA Jet Aeroservicios,RA JET,Mexico,
,RBB,Rabbit-Air,RABBIT,Switzerland,
,ACE,Race Cargo Airlines,Fastcargo,Ghana,defunct
R6,,RACSA,,Guatemala,
,GBR,Rader Aviation,GREENBRIER AIR,United States,
1D,,Radixx,,United States,
,BKH,RAF Barkston Heath,,United Kingdom,
,CFN,RAF Church Fenton,CHURCH FENTON,United Kingdom,Church Fenton Flying Training Unit
,COH,RAF Coltishall,COLT,United Kingdom,Coltishall Flying Training Unit
,CBY,RAF Coningsby,TYPHOON,United Kingdom,Coningsby Flying Training Unit
,COT,RAF Cottesmore,COTTESMORE,United Kingdom,Royal Air Force (Cottesmore Flying Training Unit) - No longer allocated
,CWL,RAF Cranwell,CRANWELL,United Kingdom,Royal Air Force (Cranwell Flying Training Unit)
,KIN,RAF Kinloss,KINLOSS,United Kingdom,Royal Air Force (Kinloss Flying Training Unit)
,LEE,RAF Leeming,JAVELIN,United Kingdom,Royal Air Force (Leeming Flying Training Unit)
,LCS,RAF Leuchars,LEUCHARS,United Kingdom,Royal Air Force
,LOP,RAF Linton-on-Ouse,LINTON ON OUSE,United Kingdom,Royal Air Force (Linton-on-Ouse Flying Training Unit)
,LOS,RAF Lossiemouth,LOSSIE,United Kingdom,Royal Air Force (Lossiemouth Flying Training Unit)
,MRH,RAF Marham,MARHAM,United Kingdom,Royal Air Force (Marham Flying Training Unit)
,NWO,RAF Northwood,,United Kingdom,Royal Air Force (Northwood Headquarters)
,SMZ,RAF Scampton,SCAMPTON,United Kingdom,Royal Air Force
,STN,RAF St Athan,SAINT ATHAN,United Kingdom,Royal Air Force
,SMG,RAF St Mawgan Search and Rescue,,United Kingdom,Royal Air Force
,TOF,RAF Topcliffe Flying Training Unit,TOPCLIFFE,United Kingdom,Royal Air Force
,VYT,RAF Valley Flying Training Unit,ANGLESEY,United Kingdom,Royal Air Force
,VLL,RAF Valley SAR Training Unit,,United Kingdom,Royal Air Force
,WAD,RAF Waddington,VULCAN,United Kingdom,Royal Air Force (Waddington FTU)
,WIT,RAF Wittering,STRIKER,United Kingdom,Royal Air Force (Wittering FTU)
,MTL,RAF-Avia,MITAVIA,Latvia,
,WES,Rainbow International Airlines,WEST INDIAN,United States,
,RAJ,Raji Airlines,RAJI,Pakistan,
,RKM,RAK Airways,RAKAIR,United Arab Emirates,
,RFA,Raleigh Flying Service,RALEIGH SERVICE,United States,
,REX,Ram Air Freight,RAM EXPRESS,United States,
,RMT,Ram Aircraft Corporation,RAM FLIGHT,United States,
,PPK,Ramp 66,PELICAN,United States,
,RGM,Rangemile Limited,RANGEMILE,United Kingdom,
,MWR,Raslan Air Service,RASLAN,Egypt,
,RAQ,Rath Aviation,RATH AVIATION,Austria,
,CSM,Ratkhan Air,LORRY,Kazakhstan,
,RVR,Raven Air,RAVEN,United Kingdom,
,RVN,Raven Air,RAVEN U-S,United States,Qualiflight Training
7H,RVF,Ravn Alaska,RAVEN FLIGHT,United States,2014[51]
,REI,Ray Aviation,RAY AVIATION,Israel,
,RYT,Raya Jet,,Jordan,
,RTN,Raytheon Aircraft Company,RAYTHEON,United States,
,RCJ,Raytheon Corporate Jets,NEWPIN,United Kingdom,
,KSS,Raytheon Travel Air,KANSAS,United States,
,RCB,Real Aero Club De Baleares,BALEARES,Spain,
,CDT,Real Aero Club de Reus-Costa Dorado,AEROREUS,Spain,
,VCB,Real Aero Club de Vizcaya,,Spain,
,RCD,Real Aeroclub De Tenerife,AEROCLUB,Spain,
,RLV,Real Aviation,REAL,Ghana,
,REB,Rebus,REBUS,Bulgaria,
,RTO,Rectimo Air Transports,RACCOON,France,
,RIX,Rectrix Aviation,RECTRIX,United States,
,PSH,Red Aviation,PASSION,United Kingdom,(Helidrome Limited)
,RBN,Red Baron Aviation,RED BARON,United States,
,DEV,Red Devils Parachute Display Team,RED DEVILS,United Kingdom,
,RDV,Red Sea Aviation,RED AVIATION,Egypt,
,RSV,Red Sky Ventures,RED SKY,Namibia,
,STR,Red Star,STARLINE,United Arab Emirates,
8L,RHC,Redhill Aviation,REDAIR,United Kingdom,
,RAV,Reed Aviation,REED AVIATION,United Kingdom,
,REF,Reef Air,REEF AIR,New Zealand,
V4,REK,Reem Air,REEM AIR,Kyrgyzstan,
,RVV,Reeve Aleutian Airways,REEVE,United States,defunct
,RBH,Regal Bahamas International Airways,CALYPSO,Bahamas,
,RGY,Regency Airlines,REGENCY,United States,
,RAH,Regent Air,REGENT,Canada,
RX,RGE,Regent Airways,REGENT,Bangladesh,
,RAG,Regio Air,GERMAN LINK,Germany,
,RGR,Region Air,REGIONAIR,Canada,
YS,RAE,Régional,REGIONAL EUROPE,France,
,RIL,Regional Air,,Mauritania,
,REW,Regional Air Express,REGIONAL WINGS,Germany,
FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco,
,REG,Regional Air Services,REGIONAL SERVICES,Tanzania,
ZL,RXA,Regional Express,REX,Australia,
,JJM,Regional Geodata Air,GEODATA,Spain,
P7,REP,Regional Paraguaya,REGIOPAR,Paraguay,Defunct
3C,CEA,RegionsAir,CORP-X,United States,formerly Corporate Airlines
,REL,Reliance Aviation,RELIANCE AIR,United States,
,RLT,Reliant Airlines,RELIANT,United States,
,RTS,Relief Transport Services,RELIEF,United Kingdom,
,RAN,Renan,RENAN,Moldova,
QQ,ROA,Reno Air,RENO AIR,United States,defunct
,RGS,Renown Aviation,RENOWN,United States,
RC,REP,Republic Airlines,REPUBLIC,United States,"defunct; 1979–1986, merged with Northwest Airlines"
RW,RPA,Republic Airways,BRICKYARD,United States,
RH,RPH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia,
,RBC,Republicair,REPUBLICAIR,Mexico,
,RST,Resort Air,RESORT AIR,United States,
,RUT,Reut Airways,YADID,Israel,
,RGV,RG Aviation,,Venezuela,2014[51]
,RDS,Rhoades Aviation,RHOADES EXPRESS,United States,
,RIU,Riau Airlines,RIAU AIR,Indonesia,
,RIA,Rich International Airways,RICHAIR,United States,
,RVC,Richards Aviation,RIVER CITY,United States,
,RIC,Richardson's Airway,RICHARDSON,United States,
,RCA,Richland Aviation,RICHLAND,United States,
,WHH,Richy Skylark,,Sri Lanka,2014[51]
,HPR,Rick Lucas Helicopters,HELIPRO,New Zealand,
C7,RLE,Rico Linhas Aéreas,RICO,Brazil,
,RID,Ridder Avia,AKRID,Kazakhstan,
,RAK,Riga Airclub,SPORT CLUB,Latvia,
,RAZ,Rijnmond Air Services,RIJNMOND,Netherlands,
,POL,Rikspolisstyrelsen,,Sweden,
,RIM,Rimrock Airlines,RIMROCK,United States,
,SKA,Rio Air Express,RIO EXPRESS,Brazil,
,REO,Rio Airways,RIO,United States,
E2,GRN,Rio Grande Air,GRANDE,United States,defunct
RL,RIO,Rio Linhas Aéreas,RIO,Brazil,
SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil,defunct
,RVM,River Ministries Air Charter,RIVER,South Africa,
,RGP,River State Government of Nigeria,GARDEN CITY,Nigeria,
,UNR,Rivne Universal Avia,RIVNE UNIVERSAL,Ukraine,
,RDL,Roadair Lines,ROADAIR,Canada,
,RBT,Robinton Aero,ROBIN,Dominican Republic,
,ROX,Roblex Aviation,ROBLEX,United States,
,RKW,Rockwell Collins Avionics,ROCKWELL,United States,
,ROC,Rocky Mountain Airlines,,Canada,
,RMA,Rocky Mountain Airways,ROCKY MOUNTAIN,United States,
,LIF,Rocky Mountain Holdings,LIFECARE,United States,
,RDZ,Rodze Air,RODZE AIR,Nigeria,
,FAD,Rog-Air,AIR FRONTIER,Canada,
,RRZ,Rollright Aviation,ROLLRIGHT,United Kingdom,
,RRL,Rolls-Royce Limited,MERLIN,United Kingdom,Military Aviation
,BTU,Rolls-Royce plc,ROLLS,United Kingdom,Rolls Royce Bristol Engine Division
,ROF,Romanian Air Force,ROMAF,Romania,
,RMV,Romavia,AEROMAVIA,Romania,
,RNS,Ronso,RONSO,Mexico,
,ROR,Roraima Airways,RORAIMA,Guyana,
,KRS,Rosen Aviation,,Japan,2014[51]
,RNB,Rosneft-Baltika,ROSBALT,Russia,
,NRG,Ross Aviation,ENERGY,United States,
,RFS,Rossair,,Australia,
,RSS,Rossair,ROSS CHARTER,South Africa,
,ROS,Rossair Europe,CATCHER,Netherlands,
FV,SDM,Rossiya,RUSSIA,Russia,Airline merged with Pulkovo Aviation Enterprise and renamed to Rossiya
,RAL,Roswell Airlines,ROSWELL,United States,
,RTR,Rotatur,ROTATUR,Brazil,
,RKT,Rotormotion,ROCKET,United Kingdom,
,JCR,Rotterdam Jet Center,ROTTERDAM JETCENTER,Netherlands,
,ROV,Rover Airways International,ROVERAIR,United States,
,VOS,Rovos Air,ROVOS,South Africa,
,RCG,Royal Air Cargo,ROYAL CARGO,South Africa,
,ACW,Royal Air Force,AIR CADET,United Kingdom,Air Cadet Schools
,RRR,Royal Air Force,ASCOT,United Kingdom,RAF HQSTC (Air Transport)
,RRF,Royal Air Force,KITTY,United Kingdom,RAF positioning flights
RR,RFR,Royal Air Force,RAFAIR,United Kingdom,
,SHF,Royal Air Force,VORTEX,United Kingdom,Support Helicopter Force
RS,MJN,Royal Air Force of Oman,MAJAN,Oman,
,RAX,Royal Air Freight,AIR ROYAL,United States,
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco,
R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan,
,RLM,Royal American Airways,ROYAL AMERICAN,United States,
V5,RYL,Royal Aruban Airlines,ROYAL ARUBAN,Aruba,
,ASY,Royal Australian Air Force,AUSSIE,Australia,Used by RAAF units internationally
,RXP,Royal Aviation Express,ROY EXPRESS,Canada,
,RYB,Royal Bahrain Airlines,ROYAL BAHRAIN,Bahrain,
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei,
,KDR,Royal Daisy Airlines,DARLINES,Uganda,
FD,,Royal Flying Doctor Service,FLYDOC,Australia,
,RGA,Royal Ghanaian Airlines,ROYAL GHANA,Ghana,
,ROJ,Royal Jet,ROYALJET,United Arab Emirates,
RJ,RJA,Royal Jordanian,JORDANIAN,Jordan,
,RJZ,Royal Jordanian Air Force,JORDAN AIR FORCE,Jordan,
RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia,
,RMF,Royal Malaysian Air Force,ANGKASA,Malaysia,
,NVY,Royal Navy,NAVY,United Kingdom,
,NRN,Royal Netherland Navy,NETHERLANDS NAVY,Netherlands,Koninklijke Marine
,NAF,Royal Netherlands Air Force,NETHERLANDS AIR FORCE,Netherlands,
,KIW,Royal New Zealand Air Force,KIWI,New Zealand,
,KRC,Royal New Zealand Air Force,KIWI RESCUE,New Zealand,
,NOW,Royal Norwegian Air Force,NORWEGIAN,Norway,
,ROP,Royal Oman Police,,Oman,
RL,PPW,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia,
,RRA,Royal Rwanda Airlines,ROYAL RWANDA,Rwanda,
,RSF,Royal Saudi Air Force,ARSAF,Saudi Arabia,
,RSN,Royal Swazi National Airways,SWAZI NATIONAL,Eswatini,
WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga,
,RWE,Royal West Airlines,ROYAL WEST,United States,
,RSB,Rubystar,RUBYSTAR,Belarus,
,RLH,Ruili Airlines,SENDI,China,
,RMG,Rumugu Air & Space Nigeria,RUMUGU AIR,Nigeria,
,KLE,Rusaero,,Russia,Centre for Civil Aviation Services
,RUR,Rusaero,,Russia,
,CGI,Rusair JSAC,CGI-RUSAIR,Russia,
,RUH,Rusich-T,,Russia,
,RLU,Rusline,RUSLINE AIR,Russia,
,MIG,Russian Aircraft Corporation-MiG,MIG AVIA,Russia,
,RFF,Russian Federation Air Force,RUSSIAN AIRFORCE,Russia,
P7,ESL,Russian Sky Airlines,RADUGA,Russia,
,RUZ,Rusuertol,ROSTUERTOL,Russia,
,RUC,Rutas Aéreas,RUTACA,Venezuela,
,RND,Rutland Aviation,RUTLAND,United Kingdom,
,REV,RVL Group,ENDURANCE,United Kingdom,
,RUA,Rwanda Airlines,,Rwanda,
,RWA,Rwanda Airways,,Rwanda,
WB,RWD,Rwandair Express,RWANDAIR,Rwanda,
,RWL,RWL Luftfahrtgesellschaft,RHEINTRAINER,Germany,
7S,RCT,Ryan Air Services,ARCTIC TRANSPORT,United States,
7S,RYA,Ryan Air Services,RYAN AIR,United States,
,RYA,Ryan Air Services,RYAN AIR,United States,
RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States,
FR,RYR,Ryanair,RYANAIR,Ireland,
RK,RUK,Ryanair UK,BLUEMAX,United Kingdom,
,RYZ,Ryazan State Air Enterprise,RYAZAN AIR,Russia,
,RAA,Rynes Aviation,RYNES AVIATION,United States,
,TIH,S C Ion Tiriac,TIRIAC AIR,Romania,
,RLS,S-Air,S-AIRLINES,Russia,
,SFX,S.K. Logistics,SWAMP FOX,United States,
,GDG,S.P. Aviation,GOLDEN GATE,United States,
S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia,
,REJ,SA Airlink Regional,REGIONAL LINK,South Africa,
,TGT,SAAB Nyge Aero,TARGET,Sweden,
,SCT,SAAB-Aircraft,SAAB-CRAFT,Sweden,
,MMS,SAAD (A320) Limited,MUSAAD AIR,Cayman Islands,
,SAX,Sabah Air,SABAH AIR,Malaysia,
E3,VGO,Sabaidee Airways,VIRGO,Thailand,
,SMC,Sabang Merauke Raya Air Charter,SAMER,Indonesia,
,SIS,Saber Airlines,,Egypt,
,SBR,Saber Aviation,FREIGHTER,United States,
1S,,Sabre,,United States,
,SBG,Sabre Incorporated,,United States,
1Z,APD,Sabre Pacific,,Australia,
1S,n/a,Sabre travel network,n/a,Global,GDS and airline hosting system (CRS/PSS)
1B,n/a,Sabre travel network Asia-Pacific (ex-Abacus),n/a,APAC,Regional distribution
,SDK,SADELCA - Sociedad Aérea Del Caquetá,SADELCA,Colombia,
,SSS,SAESA,SAESA,Spain,
EH,SET,SAETA,SAETA,Ecuador,
FA,SFR,Safair,CARGO,South Africa,
,SXY,Safari Express Cargo,SAFARI EXPRESS,Kenya,
,XLK,Safarilink Aviation,SAFARILINK,Kenya,
,IRV,Safat Airlines,SAFAT AIR,Iran,
,SFP,Safe Air,SAFE AIR,Pakistan,
,SAQ,Safe Air Company,,Kenya,
,SFF,Safewings Aviation Company,SWIFTWING,United States,
,SFN,Safiran Airlines,SAFIRAN,Iran,
,SGX,Saga Airlines,,Turkey,
,SGP,Sagolair Transportes Ejecutivos,SAGOLAIR,Spain,
,IRZ,Saha Airlines Services,SAHA,Iran,
,SHD,Sahara Airlines,,Algeria,
,AWJ,Sahel Airlines,SAHEL AIRLINES,Niger,
,SAO,Sahel Aviation Service,SAVSER,Mali,
,SCB,Saigon Capital Aircraft Management,SAIGON,Netherlands,
,SRA,Sair Aviation,SAIR,Canada,
,AZG,Sakaviaservice,SAKSERVICE,Georgia,Defunct
HZ,SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia,
,SIR,Salair,SALAIR,United States,
,SLW,Salama Airlines Nigeria,SALMA AIR,Nigeria,
OV,OMS,SalamAir,MAZOON,Oman,Oman’s first Low Cost Carrier
,KKS,Salem,KOKSHE,Kazakhstan,
,SLP,Salpa Aviation,SALPA,Sudan,
,SVV,SALTAVIATION,SALT,Poland,[59]
MM,SAM,SAM Colombia,SAM,Colombia,Sociedad Aeronáutica De Medellín
ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia,
,SAV,Samal Air,,Kazakhstan,
,SMQ,Samar Air,SAMAR AIR,Tajikistan,
E5,BRZ,Samara Airlines,BERYOZA,Russia,defunct
,HLO,Samaritan Air Service,HALO,Canada,
,UZS,Samarkand Airways,SOGDIANA,Uzbekistan,
,SGU,Samgau,RAUSHAN,Kazakhstan,
OL,SZB,Samoa Air,SAMOA,Samoa,
,SHL,Samson Aviation,SAMSON,United Kingdom,
,BYF,San Carlos Flight Center,BAY FLIGHT,United States,
,BYF,San Carlos Flight Center,BAY FLIGHT,United States,
2G*,MRR,San Juan Airlines,MARINER,United States,
,SMU,Sanborn Map Company,SPRINGER,United States,
RZ*,LRS,Sansa,,Costa Rica,
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela,
,SPP,Sapphire Aviation,SAPPHIRE,United States,
,SPH,Sapphire Executive Air,SAPPHIRE-CHARTER,South Africa,
6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia,
,SSR,Sardinian Sky Service,SARDINIAN,Italy,
,SRW,Sarit Airlines,SARIA,Sudan,
,JIM,Sark International Airways,SARK,United Kingdom,
SK,CNO,SAS Braathens,SCANOR,Norway,
,SSB,Sasair,SASIR,Canada,
,SSU,SASCA,SASCA,Venezuela,
,SAC,SASCO Airlines,SASCO,Sudan,
,SLG,Saskatchewan Government,LIFEGUARD,Canada,Air Ambulance Service
,SGS,Saskatchewan Government Executive Air Service,SASKATCHEWAN,Canada,
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan,
SP,SAT,SATA Air Acores,SATA,Portugal,
S4,RZO,SATA International,AIR AZORES,Portugal,
,SXX,Satellite Aero,SATELLITE EXPRESS,United States,
,NSE,SATENA,SATENA,Colombia,
2S,TGR,Satgur Air Transport,SATGURAIR,Liberia,defunct
,SYK,Satsair,AEROCAB,United States,(J and A Properties)
,STV,Saturn Aviation,SATURN,United States,
SV,SVA,Saudia,SAUDIA,Saudi Arabia,
,SNI,Savanah Airlines,SAVANAHLINE,Nigeria,
,SVN,Savanair (Angola),SAVANAIR,Angola,
,SXN,SaxonAir,SAXONAIR,United Kingdom,
W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan,
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway",
DV,VSV,Scat Air,VLASTA,Kazakhstan,
,ENR,Scenic Air,,Namibia,
,SCE,Scenic Airlines,SCENIC,United States,
,SBZ,Scibe Airlift,SCIBE AIRLIFT,Democratic Republic of the Congo,
,RFT,Scoala Superioara De Aviatie Civila,ROMANIAN ACADEMY,Romania,
TR,TGW,Scoot,SCOOTER,Singapore,Former IATA: TZ Former ICAO: SCO; Adopted Tigerair codes after their merger
8S,,Scorpio Aviation,,,
,SCP,Scorpio Aviation,SCORPIO,Egypt,
,SAY,ScotAirways,SUCKLING,United Kingdom,
,SKO,Scottish Airways Flyers,SKYWORK,United Kingdom,
BB,SBS,Seaborne Airlines,SEABORNE,United States,
,SCC,Seacoast Airlines,SEA-COASTER,United States,
,CGL,Seagle Air,SEAGLE,Slovakia,
K5,SQH,SeaPort Airlines,SASQUATCH,United States,Former airline: Wings of Alaska now part of SeaPort Airlines. Alternative callsign: WINGS (for VFR flights only). Former ICAO code: WAK.
,SRC,Searca,SEARCA,Colombia,
,GIK,Seba Airlines,SEBA,Guinea,
,SIJ,Seco International,,Japan,
,UKU,Second Sverdlovsk Air Enterprise,PYSHMA,Russia,
,ANX,Secretaria de Marina,SECRETARIA DEMARINA,Mexico,
,XTR,Sector Airlines,EXTER,Canada,
,JCM,Secure Air Charter,SECUREAIR,United States,
,SVX,Security Aviation,SECURITY AIR,United States,
,STG,"Sedalia, Marshall, Boonville Stage Line",STAGE,United States,
,SED,Sedona Air Center,SEDONA AIR,United States,
